Mass change comparison (total),2007.0 - 2009.0,,,
Date,Basin/Region,Model mass change (Gt),IMBIE mass change (Gt),Residual (Gt)
2008.4167,NW,-62.83,--,--
2008.4167,SE,-101.96,--,--
2008.4167,SW,-40.95,--,--
2008.4167,Masked_Total,-279.28,-344.11,-64.83
2008.4167,Unmasked_Total,-295.91,-344.11,-48.20
2008.5,CE,-34.48,--,--
2008.5,CW,-44.16,--,--
2008.5,NE,7.91,--,--
2008.5,NO,-7.13,--,--
2008.5,NW,-66.53,--,--
2008.5,SE,-107.96,--,--
2008.5,SW,-43.36,--,--
2008.5,Masked_Total,-295.70,-364.58,-68.88
2008.5,Unmasked_Total,-313.31,-364.58,-51.27
2008.5833,CE,-36.39,--,--
2008.5833,CW,-46.61,--,--
2008.5833,NE,8.35,--,--
2008.5833,NO,-7.52,--,--
2008.5833,NW,-70.22,--,--
2008.5833,SE,-113.95,--,--
2008.5833,SW,-45.77,--,--
2008.5833,Masked_Total,-312.12,-385.02,-72.89
2008.5833,Unmasked_Total,-330.71,-385.02,-54.31
2008.6667,CE,-38.31,--,--
2008.6667,CW,-49.07,--,--
2008.6667,NE,8.79,--,--
2008.6667,NO,-7.92,--,--
2008.6667,NW,-73.92,--,--
2008.6667,SE,-119.96,--,--
2008.6667,SW,-48.18,--,--
2008.6667,Masked_Total,-328.56,-405.34,-76.77
2008.6667,Unmasked_Total,-348.13,-405.34,-57.21
2008.75,CE,-40.22,--,--
2008.75,CW,-51.52,--,--
2008.75,NE,9.23,--,--
2008.75,NO,-8.31,--,--
2008.75,NW,-77.62,--,--
2008.75,SE,-125.95,--,--
2008.75,SW,-50.58,--,--
2008.75,Masked_Total,-344.98,-425.48,-80.50
2008.75,Unmasked_Total,-365.53,-425.48,-59.95
2008.8333,CE,-42.14,--,--
2008.8333,CW,-53.97,--,--
2008.8333,NE,9.67,--,--
2008.8333,NO,-8.71,--,--
2008.8333,NW,-81.31,--,--
2008.8333,SE,-131.95,--,--
2008.8333,SW,-52.99,--,--
2008.8333,Masked_Total,-361.40,-445.40,-83.99
2008.8333,Unmasked_Total,-382.93,-445.40,-62.47
2008.9167,CE,-44.06,--,--
2008.9167,CW,-56.43,--,--
2008.9167,NE,10.11,--,--
2008.9167,NO,-9.11,--,--
2008.9167,NW,-85.01,--,--
2008.9167,SE,-137.95,--,--
2008.9167,SW,-55.40,--,--
2008.9167,Masked_Total,-377.85,-465.01,-87.17
2008.9167,Unmasked_Total,-400.35,-465.01,-64.67
2009.0,CE,-45.97,--,--
2009.0,CW,-58.88,--,--
2009.0,NE,10.54,--,--
2009.0,NO,-9.50,--,--
2009.0,NW,-88.70,--,--
2009.0,SE,-143.94,--,--
2009.0,SW,-57.81,--,--
2009.0,Masked_Total,-394.27,-484.75,-90.49
2009.0,Unmasked_Total,-417.74,-484.75,-67.01
